"a","Backspace",,,"1644438822946","index.html","1.1.10 for 2019-2020 @t1"
"e","<!DOCTYPE html>
<html lang=""en"">

<head>
    <title>Bootstrap Exampl</title>
    <meta charset=""utf-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1"">
    <link href=""https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css"" rel=""stylesheet"">
    <script src=""https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js""></script>
</head>

<body>
    <div class=""alert alert-success align-middle"" role=""alert"">
        <h4 class=""alert-heading align-middle"">{{ prediction_texts }}</h4>
    </div>
    <div class=""container mt-3"">
        <h2>Stellar Classification</h2>
        <form action=""{{ url_for('predict')}}"" method=""post"">
            <div class=""mb-3 mt-3"">
                <label for=""exampleInputEmail1"">Right Ascension angle</label>
                <input required name=""alpha"" type=""number"" step=""0.0000001"" class=""form-control"" aria-describedby=""emailHelp"" placeholder=""Enter Alpha"">
            </div>
            <div class=""mb-3"">
                <label for=""exampleInputEmail1"">Declination angle</label>
                <input required name=""delta"" type=""number"" step=""0.0000001"" class=""form-control"" aria-describedby=""emailHelp"" placeholder=""Enter Delta"">
            </div>

            <div class=""mb-3"">
                <label for=""exampleInputEmail1"">Ultraviolet filter in the photometric system</label>
                <input required name=""u"" type=""number"" step=""0.0000001"" class=""form-control"" aria-describedby=""emailHelp"" placeholder=""Enter u"">

            </div>
            <div class=""mb-3"">
                <label for=""exampleInputEmail1"">Green filter in the photometric system</label>
                <input required name=""g"" type=""number"" step=""0.0000001"" class=""form-control"" aria-describedby=""emailHelp"" placeholder=""Enter g"">

            </div>
            <div class=""mb-3"">
                <label for=""exampleInputEmail1"">Red filter in the photometric system</label>
                <input required name=""r"" type=""number"" step=""0.0000001"" class=""form-control"" aria-describedby=""emailHelp"" placeholder=""Enter r"">

            </div>
            <div class=""mb-3"">
                <label for=""exampleInputEmail1"">Near Infrared filter in the photometric system</label>
                <input required name=""i"" type=""number"" step=""0.0000001"" class=""form-control"" aria-describedby=""emailHelp"" placeholder=""Enter i"">

            </div>
            <div class=""mb-3"">
                <label for=""exampleInputEmail1"">Infrared filter in the photometric system</label>
                <input required name=""z"" type=""number"" step=""0.0000001"" class=""form-control"" aria-describedby=""emailHelp"" placeholder=""Enter z"">

            </div>
            <div class=""mb-3"">
                <label for=""exampleInputEmail1"">Redshift value based on the increase in wavelength</label>
                <input required name=""red"" type=""number"" step=""0.0000001"" class=""form-control"" aria-describedby=""emailHelp"" placeholder=""Enter Red Shift"">

            </div>

            <button type=""submit"" class=""btn btn-primary"" onclick=""window.scrollTo(0, 0);"">Submit</button>
            <button type=""reset"" class=""btn btn-danger"" onclick=""window.location = '/'"">Reset</button>

        </form>
    </div>







</body>

</html>","","0","1644438822997","index.html","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1644438823746","index.html","1.1.10 for 2019-2020 @t1"
"e","","l","67","1644438823988","index.html","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1644438823993","index.html","1.1.10 for 2019-2020 @t1"
"e","","p","66","1644438824008","index.html","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1644438824013","index.html","1.1.10 for 2019-2020 @t1"
"e","","m","65","1644438824038","index.html","1.1.10 for 2019-2020 @t1"
"a","Backspace",,,"1644438824043","index.html","1.1.10 for 2019-2020 @t1"
"e","","a","64","1644438824066","index.html","1.1.10 for 2019-2020 @t1"
